Code,Department,Expenditure Class,FY20 Actual,FY21 Adopted Budget,FY21 Current Target,FY22 Estimate,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_800,34276000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35BS,FINANCE - BUDGET STABILIZATION RESERVE,total,34276000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35EB,FINANCE - EMPLOYEE BENEFITS,class_100,1363379633,1287159003.0,1302161016.0,1434553835.0,1501975576.0,1568556052.0,1619677604.0,1675168998.0
35EB,FINANCE - EMPLOYEE BENEFITS,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35EB,FINANCE - EMPLOYEE BENEFITS,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35EB,FINANCE - EMPLOYEE BENEFITS,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35EB,FINANCE - EMPLOYEE BENEFITS,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35EB,FINANCE - EMPLOYEE BENEFITS,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35EB,FINANCE - EMPLOYEE BENEFITS,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35EB,FINANCE - EMPLOYEE BENEFITS,total,1363379633,1287159003.0,1302161016.0,1434553835.0,1501975576.0,1568556052.0,1619677604.0,1675168998.0
35HA,FINANCE - HERO AWARDS,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35HA,FINANCE - HERO AWARDS,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35HA,FINANCE - HERO AWARDS,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35HA,FINANCE - HERO AWARDS,class_500,0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
35HA,FINANCE - HERO AWARDS,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35HA,FINANCE - HERO AWARDS,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35HA,FINANCE - HERO AWARDS,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35HA,FINANCE - HERO AWARDS,total,0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
35IN,FINANCE - INDEMNITIES,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35IN,FINANCE - INDEMNITIES,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35IN,FINANCE - INDEMNITIES,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35IN,FINANCE - INDEMNITIES,class_500,7238981,49246000.0,49246000.0,49246000.0,49246000.0,49246000.0,49246000.0,49246000.0
35IN,FINANCE - INDEMNITIES,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35IN,FINANCE - INDEMNITIES,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35IN,FINANCE - INDEMNITIES,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35IN,FINANCE - INDEMNITIES,total,7238981,49246000.0,49246000.0,49246000.0,49246000.0,49246000.0,49246000.0,49246000.0
35R,FINANCE - REFUNDS,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35R,FINANCE - REFUNDS,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35R,FINANCE - REFUNDS,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35R,FINANCE - REFUNDS,class_500,11660,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
35R,FINANCE - REFUNDS,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35R,FINANCE - REFUNDS,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35R,FINANCE - REFUNDS,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35R,FINANCE - REFUNDS,total,11660,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_500,227106410,252578558.0,252578558.0,255953201.0,269953201.0,282052590.0,288191821.0,288191821.0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,total,227106410,252578558.0,252578558.0,255953201.0,269953201.0,282052590.0,288191821.0,288191821.0
35WF,FINANCE - WITNESS FEES,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35WF,FINANCE - WITNESS FEES,class_200,94904,171518.0,171518.0,171518.0,171518.0,171518.0,171518.0,171518.0
35WF,FINANCE - WITNESS FEES,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35WF,FINANCE - WITNESS FEES,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35WF,FINANCE - WITNESS FEES,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35WF,FINANCE - WITNESS FEES,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35WF,FINANCE - WITNESS FEES,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35WF,FINANCE - WITNESS FEES,total,94904,171518.0,171518.0,171518.0,171518.0,171518.0,171518.0,171518.0
13,FIRE,class_100,303857650,289256642.0,313256642.0,332992022.0,332998740.0,331781002.0,331896633.0,331896633.0
13,FIRE,class_200,6724552,6724702.0,6724702.0,6728143.0,6808282.0,6808729.0,6811352.0,6811352.0
13,FIRE,class_300_400,10202716,9192914.0,9192914.0,11275064.0,11546264.0,11632051.0,11739212.0,11814610.0
13,FIRE,class_500,789591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,FIRE,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,FIRE,class_800,9325000,9882000.0,9882000.0,10071000.0,10876680.0,11746814.0,12686560.0,13003724.0
13,FIRE,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,FIRE,total,330899509,315056258.0,339056258.0,361066229.0,362229966.0,361968596.0,363133757.0,363526319.0
84,FIRST JUDICIAL DISTRICT,class_100,103276427,105324122.0,105324122.0,104868556.0,104868556.0,104868556.0,104868556.0,104868556.0
84,FIRST JUDICIAL DISTRICT,class_200,11060993,8480039.0,8480039.0,8643039.0,8643039.0,8643039.0,8643039.0,8643039.0
84,FIRST JUDICIAL DISTRICT,class_300_400,2224626,2231868.0,2231868.0,2231868.0,2231868.0,2231868.0,2231868.0,2231868.0
84,FIRST JUDICIAL DISTRICT,class_500,14482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,FIRST JUDICIAL DISTRICT,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,FIRST JUDICIAL DISTRICT,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,FIRST JUDICIAL DISTRICT,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,FIRST JUDICIAL DISTRICT,total,116576528,116036029.0,116036029.0,115743463.0,115743463.0,115743463.0,115743463.0,115743463.0
25,FLEET MANAGEMENT,class_100,18563332,19073455.0,19073455.0,18695138.0,18865138.0,19035138.0,19035138.0,19035138.0
25,FLEET MANAGEMENT,class_200,5379360,5353396.0,5353396.0,5401396.0,5449396.0,5449396.0,5449396.0,5449396.0
25,FLEET MANAGEMENT,class_300_400,22130802,22376873.0,22376873.0,20684642.0,20684642.0,20684642.0,20684642.0,20684642.0
25,FLEET MANAGEMENT,class_500,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,FLEET MANAGEMENT,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,FLEET MANAGEMENT,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,FLEET MANAGEMENT,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,FLEET MANAGEMENT,total,46073994,46803724.0,46803724.0,44781176.0,44999176.0,45169176.0,45169176.0,45169176.0
