Code,Department,Expenditure Class,FY21 Actual,FY22 Adopted Budget,FY22 Current Target,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate,FY27 Estimate
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_300_400,0,0.0,0.0,0,0,0,0,0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_500,252578558,255953201.0,255953201.0,269953201,282052590,288191821,288191821,288191821
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_700,0,0.0,0.0,0,0,0,0,0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_800,0,0.0,0.0,0,0,0,0,0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,class_900,0,0.0,0.0,0,0,0,0,0
35SD,FINANCE - SCHOOL DISTRICT CONTRIBUTION,total,252578558,255953201.0,255953201.0,269953201,282052590,288191821,288191821,288191821
35WF,FINANCE - WITNESS FEES,class_100,0,0.0,0.0,0,0,0,0,0
35WF,FINANCE - WITNESS FEES,class_200,31007,171518.0,171518.0,171518,171518,171518,171518,171518
35WF,FINANCE - WITNESS FEES,class_300_400,0,0.0,0.0,0,0,0,0,0
35WF,FINANCE - WITNESS FEES,class_500,0,0.0,0.0,0,0,0,0,0
35WF,FINANCE - WITNESS FEES,class_700,0,0.0,0.0,0,0,0,0,0
35WF,FINANCE - WITNESS FEES,class_800,0,0.0,0.0,0,0,0,0,0
35WF,FINANCE - WITNESS FEES,class_900,0,0.0,0.0,0,0,0,0,0
35WF,FINANCE - WITNESS FEES,total,31007,171518.0,171518.0,171518,171518,171518,171518,171518
13,FIRE,class_100,318512653,332992022.0,344579456.0,354321176,365554390,365670021,365670021,365670021
13,FIRE,class_200,6718361,6728143.0,7068143.0,7068282,7562729,7565352,7565352,7565352
13,FIRE,class_300_400,9025793,11275064.0,14288864.0,12445064,12870851,12403012,12478410,12478410
13,FIRE,class_500,3712621,0.0,0.0,0,0,0,0,0
13,FIRE,class_700,0,0.0,0.0,0,0,0,0,0
13,FIRE,class_800,6533000,10071000.0,7231000.0,7055640,7478978,7927717,8086271,8247997
13,FIRE,class_900,0,0.0,0.0,0,0,0,0,0
13,FIRE,total,344502428,361066229.0,373167463.0,380890162,393466948,393566102,393800054,393961780
84,FIRST JUDICIAL DISTRICT,class_100,102667998,105324122.0,108874250.0,111144985,111992433,111992433,111992433,111992433
84,FIRST JUDICIAL DISTRICT,class_200,9314949,8643039.0,8643039.0,8643039,8643039,8643039,8643039,8643039
84,FIRST JUDICIAL DISTRICT,class_300_400,2204368,2231868.0,2231868.0,2231868,2231868,2231868,2231868,2231868
84,FIRST JUDICIAL DISTRICT,class_500,125000,0.0,0.0,0,0,0,0,0
84,FIRST JUDICIAL DISTRICT,class_700,0,0.0,0.0,0,0,0,0,0
84,FIRST JUDICIAL DISTRICT,class_800,0,0.0,0.0,0,0,0,0,0
84,FIRST JUDICIAL DISTRICT,class_900,0,0.0,0.0,0,0,0,0,0
84,FIRST JUDICIAL DISTRICT,total,114312315,116199029.0,119749157.0,122019892,122867340,122867340,122867340,122867340
25,FLEET SERVICES,class_100,17982245,19260680.0,20150027.0,20534432,21255554,21255554,21255554,21255554
25,FLEET SERVICES,class_200,5208357,5401396.0,5401396.0,5449396,5449396,5449396,5449396,5449396
25,FLEET SERVICES,class_300_400,19196387,20684642.0,24522684.0,32257642,24232642,24232642,24232642,24232642
25,FLEET SERVICES,class_500,19642,0.0,0.0,0,0,0,0,0
25,FLEET SERVICES,class_700,0,0.0,0.0,0,0,0,0,0
25,FLEET SERVICES,class_800,0,0.0,0.0,0,0,0,0,0
25,FLEET SERVICES,class_900,0,0.0,0.0,0,0,0,0,0
25,FLEET SERVICES,total,42406631,45346718.0,50074107.0,58241470,50937592,50937592,50937592,50937592
25V,FLEET SERVICES - VEHICLE LEASE/PURCHASE,class_100,0,0.0,0.0,0,0,0,0,0
25V,FLEET SERVICES - VEHICLE LEASE/PURCHASE,class_200,0,0.0,0.0,0,0,0,0,0
25V,FLEET SERVICES - VEHICLE LEASE/PURCHASE,class_300_400,12862660,9745852.0,9745852.0,12507852,9627852,9627852,9627852,9627852
25V,FLEET SERVICES - VEHICLE LEASE/PURCHASE,class_500,0,0.0,0.0,0,0,0,0,0
25V,FLEET SERVICES - VEHICLE LEASE/PURCHASE,class_700,0,0.0,0.0,0,0,0,0,0
25V,FLEET SERVICES - VEHICLE LEASE/PURCHASE,class_800,0,0.0,0.0,0,0,0,0,0
25V,FLEET SERVICES - VEHICLE LEASE/PURCHASE,class_900,0,0.0,0.0,0,0,0,0,0
25V,FLEET SERVICES - VEHICLE LEASE/PURCHASE,total,12862660,9745852.0,9745852.0,12507852,9627852,9627852,9627852,9627852
52,FREE LIBRARY,class_100,36056416,38171857.0,41456287.0,50911555,52386250,52500748,52592724,52592724
52,FREE LIBRARY,class_200,2218647,2772879.0,2028262.0,3496262,3496262,3496262,3496262,3496262
52,FREE LIBRARY,class_300_400,1841601,1842128.0,1842128.0,4042128,4042128,4042128,4042128,4042128
52,FREE LIBRARY,class_500,0,0.0,0.0,0,0,0,0,0
52,FREE LIBRARY,class_700,0,0.0,0.0,0,0,0,0,0
52,FREE LIBRARY,class_800,0,0.0,0.0,0,0,0,0,0
52,FREE LIBRARY,class_900,0,0.0,0.0,0,0,0,0,0
52,FREE LIBRARY,total,40116664,42786864.0,45326677.0,58449945,59924640,60039138,60131114,60131114
54,HUMAN RELATIONS COMMISSION,class_100,2267083,2325040.0,2463907.0,2502372,2573975,2573975,2573975,2573975
54,HUMAN RELATIONS COMMISSION,class_200,11818,34657.0,34657.0,43333,43333,43333,43333,43333
54,HUMAN RELATIONS COMMISSION,class_300_400,6572,28031.0,28031.0,28031,28031,28031,28031,28031
54,HUMAN RELATIONS COMMISSION,class_500,0,0.0,0.0,0,0,0,0,0
54,HUMAN RELATIONS COMMISSION,class_700,0,0.0,0.0,0,0,0,0,0
54,HUMAN RELATIONS COMMISSION,class_800,0,0.0,0.0,0,0,0,0,0
54,HUMAN RELATIONS COMMISSION,class_900,0,0.0,0.0,0,0,0,0,0
54,HUMAN RELATIONS COMMISSION,total,2285473,2387728.0,2526595.0,2573736,2645339,2645339,2645339,2645339
22,HUMAN SERVICES,class_100,28025714,32182866.0,34254330.0,34466970,35254852,35254852,35254852,35254852
22,HUMAN SERVICES,class_200,123364759,142585334.0,143474084.0,152645655,151431645,152181645,152931645,152931645
22,HUMAN SERVICES,class_300_400,1253847,2111970.0,2111970.0,2111970,2111970,2111970,2111970,2111970
22,HUMAN SERVICES,class_500,1567138,1393638.0,1393638.0,0,0,0,0,0
22,HUMAN SERVICES,class_700,0,0.0,0.0,0,0,0,0,0
22,HUMAN SERVICES,class_800,0,0.0,0.0,0,0,0,0,0
22,HUMAN SERVICES,class_900,0,0.0,0.0,0,0,0,0,0
22,HUMAN SERVICES,total,154211458,178273808.0,181234022.0,189224595,188798467,189548467,190298467,190298467
03,LABOR,class_100,1991712,2939422.0,2884257.0,3460299,3465681,3475122,3470497,3470497
03,LABOR,class_200,320420,352817.0,455817.0,519617,472617,472617,472617,472617
03,LABOR,class_300_400,65619,21420.0,21420.0,24420,21420,21420,21420,21420
03,LABOR,class_500,0,0.0,0.0,0,0,0,0,0
03,LABOR,class_700,0,0.0,0.0,0,0,0,0,0
03,LABOR,class_800,0,0.0,0.0,0,0,0,0,0
03,LABOR,class_900,0,0.0,0.0,0,0,0,0,0
03,LABOR,total,2377751,3313659.0,3361494.0,4004336,3959718,3969159,3964534,3964534
44,LAW,class_100,9640029,13329167.0,13740897.0,15705718,15823785,15823785,15823785,15823785
44,LAW,class_200,6519856,5433427.0,8046427.0,5979915,5979915,5979915,5979915,5979915
44,LAW,class_300_400,59879,184676.0,84676.0,190676,184676,184676,184676,184676
44,LAW,class_500,0,0.0,0.0,0,0,0,0,0
44,LAW,class_700,0,0.0,0.0,0,0,0,0,0
44,LAW,class_800,0,0.0,0.0,0,0,0,0,0
44,LAW,class_900,0,0.0,0.0,0,0,0,0,0
44,LAW,total,16219764,18947270.0,21872000.0,21876309,21988376,21988376,21988376,21988376
26,LICENSES AND INSPECTIONS,class_100,24779256,24577968.0,25792609.0,26670602,27410769,27410769,27410769,27410769
26,LICENSES AND INSPECTIONS,class_200,12128927,13522002.0,13447002.0,14146162,14196162,13246162,13246162,13246162
26,LICENSES AND INSPECTIONS,class_300_400,366827,834475.0,809475.0,809475,809475,809475,809475,809475
26,LICENSES AND INSPECTIONS,class_500,59854,0.0,0.0,0,0,0,0,0
26,LICENSES AND INSPECTIONS,class_700,0,0.0,0.0,0,0,0,0,0
26,LICENSES AND INSPECTIONS,class_800,0,0.0,0.0,0,0,0,0,0
